Date,Region,Place,Trigger,Depth(m),Width (m),Vertical (m),Aspect,Elevation (m),Buried - Fully,Buried - Partly,Weak Layer,Carried,Caught,Injured,Killed,Latitude,Longitude
2/1/13,Provo,Mary Ellen,Natural,0.3048,91.42045455,152.3674242,,Unknown,0,0,Unknown,0,0,0,0,Unknown,Unknown
2/1/13,Provo,Cascade Ridge line,Natural,unknown,Unknown,Unknown,East,Unknown,0,0,Unknown,0,0,0,0,Unknown,Unknown
1/31/13,Salt Lake,Bear Trap,Skier,0.4572,18.28409091,24.37878788,Northwest,2376.931818,0,0,Facets,0,0,0,0,40.639481,-111.616695
1/31/13,Salt Lake,Park City Ridgeline,Natural,0.6096,121.8939394,0,East,2986.401515,0,0,Facets,0,0,0,0,40.63063,-111.57011
1/31/13,Skyline,Lake Canyon,Natural,0.4572,45.71022727,45.71022727,Northeast,2986.401515,0,0,Facets,0,0,0,0,39.601588,-111.306953
1/31/13,Skyline,Skyline,Natural,#VALUE!,76.18371212,60.9469697,Northeast,2986.401515,0,0,Facets,0,0,0,0,39.606217,-111.288929
1/30/13,Ogden,Willard Peak,Natural,unknown,121.8939394,533.2859848,East,2803.560606,0,0,Unknown,0,0,0,0,41.380125,-111.972828
1/30/13,Salt Lake,Reynolds Peak,Skier,0.9144,12.18939394,152.3674242,Northeast,2864.507576,0,0,New Snow/Old Snow Interface,0,0,0,0,40.662671,-111.646371
1/30/13,Skyline,Pleasant Creek,Natural,0.6096,53.32859848,243.7878788,East,3108.295455,0,0,Density Change,0,0,0,0,39.510994,-111.320171
1/28/13,Salt Lake,Maybird Gulch,Skier,0.6096,60.9469697,152.3674242,North,2925.454545,0,0,Facets,0,0,0,0,40.5511,-111.7091
1/28/13,Salt Lake,Back Bowls,Skier,0.9144,24.37878788,21.33143939,Northwest,2986.401515,0,0,Facets,0,0,0,0,40.593328,-111.597705
1/28/13,Salt Lake,Back Bowls,Skier,0.0762,30.47348485,45.71022727,Northwest,3016.875,0,0,Facets,0,0,0,0,40.593067,-111.598091
1/27/13,Salt Lake,Snake Creek,Snowboarder,0.2032,Unknown,91.42045455,Southeast,3077.82197,0,0,New Snow/Old Snow Interface,0,0,0,0,40.582736,-111.568995
1/27/13,Salt Lake,West Desolation Ridge,Skier,0.3048,12.18939394,15.23674242,,2955.92803,0,0,New Snow/Old Snow Interface,0,0,0,0,40.655867,-111.602769
1/26/13,Salt Lake,Red Pine Gulch,,0.3556,12.18939394,38.09185606,Northeast,2925.454545,0,0,Facets,1,1,0,0,40.546869,-111.697247
1/26/13,Salt Lake,Red Baldy,Skier,0.3048,38.09185606,121.8939394,Northwest,2955.92803,0,0,Facets,0,0,0,0,40.550396,-111.666026
1/26/13,Logan,First Dam,Natural,0.254,45.71022727,182.8409091,Northwest,1706.515152,0,0,Ground Interface,0,0,0,0,41.74093,-111.785588
1/25/13,Logan,Miller Bowl,Snowmobiler,0.3048,60.9469697,121.8939394,North,2620.719697,0,0,Facets,0,0,0,0,41.887007,-111.646028
1/25/13,Ogden,North Ogden Divide,Natural,unknown,Unknown,Unknown,,Unknown,0,0,Unknown,0,0,0,0,41.325006,-111.88983
1/25/13,Logan,Logan Canyon,Unknown,0.3048,12.18939394,152.3674242,North,1828.409091,0,0,Ground Interface,0,0,0,0,41.83184,-111.592426
1/25/13,Skyline,Fairview Canyon,Unknown,0.3556,4.571022727,Unknown,North,2133.143939,0,0,Wet grains,0,0,0,0,39.63848,-111.380768
1/25/13,Provo,Provo Canyon,Natural,0.3048,9.142045455,533.2859848,North,2224.564394,0,0,Facets,0,0,0,0,40.338203,-111.591868
1/25/13,Logan,Miller Bowl,Snowmobiler,0.3556,60.9469697,152.3674242,East,2620.719697,0,0,Unknown,0,0,0,0,41.886864,-111.645899
1/24/13,Provo,Provo Canyon,Natural,0.3048,12.18939394,304.7348485,Northwest,1889.356061,0,0,Facets,0,0,0,0,40.350469,-111.577106
1/24/13,Salt Lake,Bowman Fork,Unknown,unknown,4.571022727,Unknown,North,Unknown,0,0,Unknown,0,0,0,0,40.692614,-111.702118
1/23/13,Salt Lake,White Pine,Skier,unknown,15.23674242,15.23674242,Northwest,2986.401515,0,0,Unknown,0,1,0,0,40.544402,-111.67403
1/23/13,Ogden,Cold Canyon,Snowboarder,0.3048,30.47348485,15.23674242,Northeast,2224.564394,0,0,Facets,0,0,0,0,41.37254,-111.937759
1/18/13,Salt Lake,Grandview Peak,Natural,0.3048,15.23674242,15.23674242,East,2468.352273,0,0,New Snow,0,0,0,0,40.858487,-111.74675
1/18/13,Uintas,Mill Hollow,Snowmobiler,0.9144,45.71022727,15.23674242,Southeast,2590.246212,2,0,Depth Hoar,2,3,0,2,0,0
1/17/13,Salt Lake,Cardiff Fork,,0.1524,6.09469697,45.71022727,East,3108.295455,0,0,Unknown,0,0,0,0,40.601181,-111.667163
1/16/13,Salt Lake,Two Trees,Skier,unknown,Unknown,Unknown,,Unknown,0,0,Unknown,0,0,0,0,40.593165,-111.657314
1/15/13,Salt Lake,Little Superior,Skier,0.762,121.8939394,380.9185606,Southeast,3047.348485,0,0,Facets,0,1,0,0,40.592089,-111.666713
1/15/13,Provo,Major Evans,Unknown,unknown,Unknown,Unknown,Northeast,3169.242424,0,0,Unknown,0,0,0,0,40.531806,-111.648173
1/15/13,Salt Lake,Superior,Natural,unknown,18.28409091,76.18371212,South,3352.083333,0,0,Unknown,0,0,0,0,0,0
1/13/13,Salt Lake,Cardiac Ridge,Natural,unknown,60.9469697,137.1306818,East,3047.348485,0,0,Unknown,0,0,0,0,40.603396,-111.664352
1/13/13,Salt Lake,Monitors,Unknown,unknown,30.47348485,Unknown,East,2986.401515,0,0,Unknown,0,0,0,0,0,0
1/13/13,Salt Lake,West Monitor,Skier,unknown,Unknown,152.3674242,Northeast,2894.981061,0,0,Unknown,0,0,0,0,40.649485,-111.584916
1/12/13,Salt Lake,West Willow,Skier,0.3048,9.142045455,18.28409091,Northeast,2803.560606,0,0,Density Change,0,0,0,0,40.643364,-111.595044
1/12/13,Salt Lake,Mt Aire,Skier,0.4572,30.47348485,213.3143939,Northeast,2407.405303,0,0,Facets,0,0,0,0,40.721235,-111.677012
1/12/13,Salt Lake,Mt Aire,Skier,0.508,21.33143939,#VALUE!,Northeast,2468.352273,0,0,Facets,0,0,0,0,40.718711,-111.678987
1/12/13,Salt Lake,West Porter,Skier,0.6096,213.3143939,243.7878788,Northeast,2864.507576,1,1,Facets,2,2,1,0,40.668758,-111.723318
1/12/13,Salt Lake,Antelope Island,Skier,0.4572,6.09469697,45.71022727,Northeast,Unknown,0,0,Depth Hoar,0,1,0,0,40.980125,-112.207875
1/12/13,Salt Lake,Scotties Bowl,Skier,0.2794,24.37878788,60.9469697,Northwest,2894.981061,0,0,Facets,0,0,0,0,40.564449,-111.677012
1/12/13,Salt Lake,Butler Fork,Natural,0.6096,91.42045455,243.7878788,Northeast,3138.768939,0,0,Depth Hoar,0,0,0,0,40.596326,-111.719799
1/12/13,Salt Lake,Depth Hoar Bowl,Skier,0.4572,38.09185606,106.657197,Northeast,2834.034091,0,1,Facets,1,1,0,0,40.677937,-111.683922
1/11/13,Salt Lake,Lambs Canyon,,unknown,Unknown,Unknown,,2133.143939,0,0,Unknown,0,0,0,0,Unknown,Unknown
1/11/13,Logan,"West side of Cache Valley, above Cutler Reservoir",Natural,unknown,15.23674242,45.71022727,Northeast,1615.094697,0,0,Facets,0,0,0,0,41.798959,-112.013168
1/11/13,Logan,East Goal Post Area,Natural,0.3048,Unknown,Unknown,Northwest,2742.613636,0,0,New Snow/Old Snow Interface,0,0,0,0,41.710502,-111.733017
1/11/13,Salt Lake,Diving Board,Natural,0.762,91.42045455,380.9185606,East,3138.768939,0,0,Facets,0,0,0,0,40.59688,-111.719885
1/11/13,Salt Lake,Depth Hoar Bowl,Skier,0.4572,15.23674242,152.3674242,Northeast,2834.034091,0,0,Facets,0,0,0,0,40.677058,-111.68272
1/9/13,Salt Lake,Lewis Peak,Snowmobiler,0.9144,30.47348485,60.9469697,North,2803.560606,0,0,Facets,0,0,0,0,40.854332,-111.479645
1/9/13,Ogden,Ogden Canyon,Natural,unknown,Unknown,137.1306818,North,1676.041667,0,0,Unknown,0,0,0,0,41.237028,-111.902447
1/9/13,Logan,Mathews Hollow,Snowmobiler,unknown,Unknown,Unknown,South,2255.037879,0,1,Wet grains,1,1,0,0,41.69179,-111.733489
1/9/13,Logan,Providence Canyon,Natural,0.254,12.18939394,91.42045455,South,2072.19697,0,0,Wet grains,0,0,0,0,41.69179,-111.733489
1/3/13,Salt Lake,Wolverine,Skier,unknown,Unknown,Unknown,,Unknown,0,0,Unknown,0,0,0,0,Unknown,Unknown
1/2/13,Salt Lake,Canyons side country,Skier,0.3048,15.23674242,60.9469697,North,2742.613636,0,0,Unknown,0,0,0,0,40.681224,-111.595559
1/1/13,Skyline,Rolfson,Unknown,0.9144,53.32859848,Unknown,Northeast,3016.875,0,0,Facets,0,0,0,0,39.570334,-111.293864
1/1/13,Salt Lake,Alta Periphery,Skier,0.3048,12.18939394,30.47348485,Southeast,3169.242424,0,0,Density Change,0,0,0,0,40.57726,-111.598949
12/31/12,Salt Lake,Bonkers,Natural,0.9144,Unknown,Unknown,North,2955.92803,0,0,Unknown,0,0,0,0,40.602093,-111.724091
12/29/12,Ogden,Cutler Ridge,Natural,0.6096,15.23674242,30.47348485,East,2285.511364,0,0,New Snow,0,0,0,0,41.3742,-111.940491
12/28/12,Salt Lake,Lackawaxen,Snowboarder,0.3048,30.47348485,91.42045455,East,3199.715909,0,0,New Snow/Old Snow Interface,0,0,0,0,40.592301,-111.560529
12/28/12,Salt Lake,Wall of Voodoo,Unknown,unknown,Unknown,Unknown,Northeast,2864.507576,0,0,Unknown,0,0,0,0,Unknown,Unknown
12/28/12,Salt Lake,Porter Fork,Skier,0.6096,30.47348485,60.9469697,Northwest,2742.613636,0,0,Facets,0,0,0,0,Unknown,Unknown
12/28/12,Salt Lake,Gobblers,Skier,0.6096,53.32859848,137.1306818,Northwest,2894.981061,0,0,Facets,0,0,0,0,40.668146,-111.689994
12/28/12,Salt Lake,Alexander Chutes,Skier,0.4572,15.23674242,Unknown,Northwest,2803.560606,0,0,Facets,0,0,0,0,Unknown,Unknown
12/28/12,Salt Lake,Lake Mary Chutes,Skier,0.3556,6.09469697,30.47348485,West,2986.401515,0,0,New Snow/Old Snow Interface,0,0,0,0,40.588602,-111.595302
12/27/12,Provo,Box Elder,Natural,0.762,24.37878788,60.9469697,Northwest,3047.348485,0,0,Facets,0,0,0,0,40.492824,-111.700938
12/27/12,Skyline,Cove Creek,Natural,0.9144,Unknown,213.3143939,North,3016.875,0,0,Facets,0,0,0,0,39.551819,-111.317339
12/27/12,Salt Lake,Cinder Chutes,Skier,0.3048,9.142045455,152.3674242,East,2864.507576,0,0,New Snow,0,0,0,0,40.671102,-111.599936
12/27/12,Salt Lake,Days Fork,Skier,0.3556,18.28409091,152.3674242,Northeast,3169.242424,0,0,Density Change,0,0,0,0,40.604928,-111.642766
12/27/12,Salt Lake,Kessler Peak,Skier,0.9144,15.23674242,152.3674242,North,2742.613636,0,0,Facets,0,0,0,0,Unknown,Unknown
12/27/12,Provo,Provo Canyon,Natural,0.762,121.8939394,Unknown,Northeast,3169.242424,0,0,Facets,0,0,0,0,40.314866,-111.588349
12/26/12,Logan,Wood Camp,Natural,0.3048,30.47348485,Unknown,East,2437.878788,0,0,Density Change,0,0,0,0,Unknown,Unknown
12/26/12,Salt Lake,White Pine,Skier,0.762,15.23674242,60.9469697,West,2955.92803,0,0,New Snow/Old Snow Interface,1,1,0,0,Unknown,Unknown
12/26/12,Skyline,GE Hill/Skyline Summit,Natural,0.6096,60.9469697,30.47348485,North,2925.454545,0,0,Facets,0,0,0,0,39.631341,-111.331329
12/24/12,Logan,"West Ridge, Amazon Basin",Unknown,0.762,45.71022727,12.18939394,Northeast,Unknown,0,0,Unknown,0,0,0,0,Unknown,Unknown
12/23/12,Salt Lake,Reed and Benson Ridge,Unknown,1.3716,10.6657197,45.71022727,West,2955.92803,0,0,New Snow/Old Snow Interface,0,0,0,0,40.604635,-111.648259
12/23/12,Salt Lake,Murdock Peak,Unknown,0.6096,21.33143939,Unknown,North,2864.507576,0,0,Unknown,0,0,0,0,40.693394,-111.602125
12/22/12,Uintas,Whitney Basin,Snowmobiler,0.9144,152.3674242,91.42045455,Northeast,3169.242424,0,0,Facets,0,0,0,0,40.838132,-111.014614
12/22/12,Uintas,Mill Hollow,Snowmobiler,0.9144,45.71022727,30.47348485,Northeast,2894.981061,0,0,Facets,0,0,0,0,40.469698,-111.098557
12/21/12,Skyline,Miller Flat,Snowmobiler,1.0668,243.7878788,182.8409091,Northeast,3108.295455,0,0,Ground Interface,0,0,0,0,39.571028,-111.285968
12/21/12,Skyline,Skyline,Snowmobiler,1.2192,274.2613636,243.7878788,Northeast,Unknown,0,0,Facets,0,0,0,0,Unknown,Unknown
12/21/12,Salt Lake,Cinder Chutes,Natural,unknown,Unknown,Unknown,East,2864.507576,0,0,Facets,0,0,0,0,40.671167,-111.599808
12/20/12,Salt Lake,Maybird Gulch,Natural,unknown,Unknown,Unknown,Northeast,3047.348485,0,0,Unknown,0,0,0,0,40.540026,-111.706538
12/20/12,Provo,Provo Canyon,Natural,0.762,30.47348485,914.2045455,East,2986.401515,0,0,Facets,0,0,0,0,40.38898,-111.621244
12/20/12,Skyline,Big Drift/Skyline Summit,Snowboarder,1.2192,76.18371212,91.42045455,Northeast,2864.507576,0,0,Facets,0,0,0,0,39.619045,-111.325922
12/20/12,Uintas,Currant Creek,Snowboarder,0.1016,243.7878788,91.42045455,Northeast,Unknown,0,0,Facets,0,0,0,0,40.387874,-111.176577
12/20/12,Uintas,Whitney Basin,Snowmobiler,1.2192,45.71022727,91.42045455,Northeast,3047.348485,0,0,Facets,0,0,0,0,40.872767,-110.97393
12/19/12,Salt Lake,Dutch Draw,Snowboarder,0.762,91.42045455,213.3143939,East,2986.401515,0,0,New Snow/Old Snow Interface,0,0,0,0,40.654564,-111.593585
12/18/12,Salt Lake,Millicent Peak,Explosive,1.0668,76.18371212,0,Northeast,3108.295455,0,0,Facets,0,0,0,0,Unknown,Unknown
12/18/12,Salt Lake,Lackawaxen,Snowboarder,0.9144,24.37878788,45.71022727,Northeast,3108.295455,0,0,New Snow/Old Snow Interface,0,0,0,0,40.596326,-111.559682
12/18/12,Uintas,Currant Creek,Natural,1.524,304.7348485,152.3674242,Northeast,3169.242424,0,0,Facets,0,0,0,0,40.379309,-111.174345
12/18/12,Uintas,Upper Weber Canyon,,1.524,121.8939394,91.42045455,Northeast,2955.92803,0,0,Ground Interface,0,0,0,0,40.832473,-111.065083
12/18/12,Provo,Provo,Natural,0.762,Unknown,Unknown,East,2590.246212,0,0,Facets,0,0,0,0,Unknown,Unknown
12/18/12,Provo,Outhouse,Unknown,0.6096,Unknown,Unknown,East,3016.875,0,0,Unknown,0,0,0,0,40.536935,-111.63847
12/17/12,Logan,Wellsville Mountain Wilderness,Natural,unknown,Unknown,609.469697,East,2742.613636,0,0,Unknown,0,0,0,0,41.638026,-111.989136
12/17/12,Logan,"Mt, Magog Area",Natural,unknown,Unknown,Unknown,East,2834.034091,0,0,Unknown,0,0,0,0,41.916585,-111.653023
12/17/12,Logan,Bullen Basin,Natural,0.9144,24.37878788,152.3674242,Northeast,2925.454545,0,0,Facets,0,0,0,0,41.931369,-111.670232
12/17/12,Salt Lake,MacDonalds Draw,Natural,0.9144,60.9469697,243.7878788,Southeast,2834.034091,0,0,Unknown,0,0,0,0,40.65322,-111.584487
12/17/12,Salt Lake,10420,Natural,0.254,1.523674242,15.23674242,North,2925.454545,0,0,New Snow/Old Snow Interface,0,0,0,0,40.604732,-111.570325
12/17/12,Salt Lake,Brighton,,0.6096,15.23674242,Unknown,North,3016.875,0,0,Facets,0,0,0,0,40.592578,-111.596117
12/17/12,Uintas,Upper Weber Canyon,Natural,0.762,38.09185606,60.9469697,Northeast,2894.981061,0,0,Facets,0,0,0,0,40.840762,-111.048431
12/16/12,Skyline,Skyline Summit,Natural,0.381,76.18371212,38.09185606,Northeast,2925.454545,0,0,Facets,0,0,0,0,39.603572,-111.282921
12/15/12,Salt Lake,Sound of Music,Skier,0.3556,15.23674242,Unknown,East,2773.087121,0,0,New Snow/Old Snow Interface,0,0,0,0,40.684706,-111.599979
12/15/12,Salt Lake,Rocky Point,Skier,unknown,Unknown,38.09185606,Northeast,3169.242424,0,0,Density Change,1,1,1,0,40.578336,-111.597362
12/14/12,Salt Lake,Millicent Peak,Explosive,1.2192,91.42045455,274.2613636,Northeast,3138.768939,0,0,Surface Hoar,0,0,0,0,40.582149,-111.585217
12/14/12,Salt Lake,Two Dogs,Unknown,0.762,18.28409091,182.8409091,North,3077.82197,0,0,Facets,0,0,0,0,40.599291,-111.641221
12/14/12,Salt Lake,Superior,Skier,0.3556,6.09469697,Unknown,North,3260.662879,0,0,Depth Hoar,0,0,0,0,40.592578,-111.664824
12/13/12,Salt Lake,Cardiff Fork,,0.9144,15.23674242,243.7878788,North,3047.348485,0,0,Ground Interface,0,0,0,0,40.594924,-111.655941
12/12/12,Skyline,Skyline,Snowmobiler,0.3048,45.71022727,12.18939394,North,2925.454545,0,0,Facets,0,0,0,0,39.619111,-111.293564
12/11/12,Salt Lake,MacDonalds Draw,Skier,0.6096,30.47348485,121.8939394,Northeast,2955.92803,0,0,Facets,0,0,0,0,40.644629,-111.577899
12/11/12,Salt Lake,Park City Ski Resort,Skier,0.4572,152.3674242,Unknown,Northeast,2986.401515,0,0,Facets,0,0,0,0,Unknown,Unknown
12/10/12,Salt Lake,Little Water Peak,Skier,0.4572,76.18371212,121.8939394,East,2894.981061,0,0,Facets,0,0,0,0,Unknown,Unknown
12/9/12,Salt Lake,Squaretop,Skier,0.4064,30.47348485,Unknown,East,2894.981061,0,0,Facets,1,1,0,0,40.666073,-111.601825
12/9/12,Salt Lake,Reynolds East Face,Skier,0.4572,45.71022727,60.9469697,East,2864.507576,0,0,Facets,0,1,0,0,40.66228,-111.645341
12/8/12,Salt Lake,Superior,Unknown,unknown,24.37878788,Unknown,South,Unknown,0,0,New Snow,2,2,0,0,40.588407,-111.659546
12/8/12,Salt Lake,Banana Days,Skier,0.6096,18.28409091,182.8409091,North,3138.768939,0,0,Facets,0,0,0,0,40.606915,-111.643667
12/4/12,Logan,Mt. Magog,Skier,0.4572,12.18939394,Unknown,Northeast,2864.507576,0,0,Density Change,0,0,0,0,41.915787,-111.654224
11/29/12,Salt Lake,Snake Creek,Skier,0.1524,4.571022727,60.9469697,Northeast,2955.92803,0,0,Graupel,0,0,0,0,Unknown,Unknown
11/12/12,Salt Lake,Silver Fork Headwall,Skier,0.762,18.28409091,121.8939394,Northeast,3016.875,0,0,Facets,0,0,0,0,40.598541,-111.627402
11/11/12,Salt Lake,Patsy Marly,Skier,0.762,30.47348485,30.47348485,North,2955.92803,0,0,New Snow/Old Snow Interface,1,0,0,0,40.592619,-111.616099
11/11/12,Salt Lake,upper Days,Skier,0.9144,21.33143939,137.1306818,North,3108.295455,0,0,Facets,0,0,0,0,40.599291,-111.642315
11/11/12,Salt Lake,Emma Ridges,Skier,0.4572,15.23674242,152.3674242,Southeast,3108.295455,0,0,New Snow,0,0,0,0,40.598313,-111.628304
11/11/12,Salt Lake,Sunset Peak,Skier,1.0668,Unknown,243.7878788,North,3169.242424,0,0,Facets,0,0,0,0,40.57859,-111.595087
11/10/12,Salt Lake,Pioneer Ridge,Skier,0.6096,6.09469697,38.09185606,North,3016.875,0,0,Facets,0,0,0,0,Unknown,Unknown
11/10/12,Salt Lake,Pioneer Bowl,Natural,unknown,Unknown,Unknown,North,2955.92803,0,0,Facets,0,0,0,0,Unknown,Unknown
11/10/12,Salt Lake,Grizzly Gulch,Skier,0.6096,38.09185606,45.71022727,North,3047.348485,0,0,New Snow/Old Snow Interface,0,0,0,0,40.591275,-111.612425
11/9/12,Salt Lake,Sunset Peak,Snowboarder,0.3556,24.37878788,9.142045455,North,3169.242424,0,0,New Snow/Old Snow Interface,0,1,0,0,40.577977,-111.595817
Unknown,Moab,Moab,,0.0762,30.47348485,12.18939394,North,3047.348485,0,0,New Snow,0,0,0,0,Unknown,Unknown
Unknown,Uintas,Uintas,,unknown,Unknown,Unknown,,Unknown,0,0,Unknown,0,0,0,0,Unknown,Unknown
Unknown,Salt Lake,Mill B South,Unknown,1.0668,27.42613636,Unknown,West,2498.825758,0,0,Unknown,0,0,0,0,Unknown,Unknown
Unknown,Salt Lake,Mill B South,Unknown,unknown,Unknown,53.32859848,Northwest,2285.511364,0,0,Unknown,0,0,0,0,Unknown,Unknown
Unknown,Uintas,Upper Weber Canyon,Natural,0.762,38.09185606,45.71022727,Northeast,2925.454545,0,0,Facets,0,0,0,0,40.841606,-111.048346
