Date,Region,Place,Trigger,Depth(m),Width (m),Vertical (m),Aspect,Elevation (m),Buried - Fully,Buried - Partly,Weak Layer,Carried,Caught,Injured,Killed,Latitude,Longitude
3/23/13,Salt Lake,Days Headwall,Skier,0.1524,15.23674242,182.8409091,Northeast,3108.295455,0,0,New Snow,0,0,0,0,40.600666,-111.634333
3/23/13,Salt Lake,Catchers Mit,Skier,0.508,18.28409091,60.9469697,Northeast,3108.295455,0,0,Facets,0,0,0,0,40.623041,-111.668215
3/23/13,Salt Lake,Meadows,Skier,0.254,24.37878788,60.9469697,East,2681.666667,0,0,New Snow/Old Snow Interface,0,0,0,0,40.612584,-111.623282
3/23/13,Salt Lake,Flanigans,Snowboarder,0.3048,9.142045455,76.18371212,North,2986.401515,0,0,New Snow/Old Snow Interface,1,1,0,0,40.605439,-111.618956
3/23/13,Salt Lake,West Monitor,Skier,0.5588,12.18939394,152.3674242,East,2894.981061,0,0,New Snow/Old Snow Interface,0,0,0,0,Unknown,Unknown
3/22/13,Salt Lake,Banana Days,Skier,0.254,30.47348485,76.18371212,Northeast,3047.348485,0,0,Graupel,0,0,0,0,Unknown,Unknown
3/21/13,Salt Lake,Mill B South,Natural,0.254,7.618371212,30.47348485,Northwest,3199.715909,0,0,Graupel,0,0,0,0,40.591796,-111.674566
3/21/13,Salt Lake,Hypodermic Needle,Natural,0.508,18.28409091,457.1022727,Northeast,3230.189394,0,0,New Snow/Old Snow Interface,0,0,0,0,40.545309,-111.730099
3/21/13,Salt Lake,Key hole,Skier,0.2794,10.6657197,106.657197,,3169.242424,0,0,New Snow/Old Snow Interface,0,0,0,0,Unknown,Unknown
3/21/13,Salt Lake,Pioneer Ridge,Skier,0.254,15.23674242,106.657197,Northeast,3108.295455,0,0,Density Change,0,0,0,0,40.581888,-111.587749
3/21/13,Logan,White Rock Hollow,Skier,0.3048,21.33143939,60.9469697,East,2742.613636,0,0,New Snow/Old Snow Interface,0,0,0,0,41.683404,-111.696587
3/20/13,Salt Lake,Days Fork,Skier,0.2032,45.71022727,121.8939394,North,3077.82197,0,0,New Snow,0,1,0,0,40.604244,-111.641994
3/18/13,Salt Lake,Reynolds Pk,Skier,unknown,Unknown,Unknown,East,2803.560606,0,0,Unknown,0,0,0,0,Unknown,Unknown
3/18/13,Uintas,Moffit Basin,Skier,0.762,15.23674242,304.7348485,Northeast,3291.136364,0,0,Facets,1,1,0,0,40.809793,-110.953803
3/16/13,Salt Lake,Big Cottonwood Canyon,Natural,0.9144,Unknown,Unknown,North,2742.613636,0,0,Wet grains,0,0,0,0,Unknown,Unknown
3/15/13,Provo,Cascade Ridge,Skier,0.3048,24.37878788,60.9469697,Southeast,2590.246212,0,0,Unknown,0,0,0,0,Unknown,Unknown
3/15/13,Salt Lake,Broads Fork,Natural,unknown,Unknown,457.1022727,East,3199.715909,0,0,Ground Interface,0,0,0,0,40.597792,-111.719971
3/15/13,Logan,West Side of Wellsville Range,Natural,unknown,Unknown,609.469697,West,2498.825758,0,0,Ground Interface,0,0,0,0,41.681086,-112.03424
